icd_code	sex	trait
N48	M	Other disorders of penis
N13	NA	Obstructive and reflux uropathy
D70	NA	Agranulocytosis
H33	NA	Retinal detachments and breaks
K37	NA	Unspecified appendicitis
G93	NA	Other disorders of brain
J47	NA	Bronchiectasis
M43	NA	Deforming dorsopathies
J31	NA	Chronic rhinitis, nasopharyngitis and pharyngitis
K60	NA	Fissure and fistula of anal and rectal regions
K81	NA	Cholecystitis
N90	F	Other noninflammatory disorders of vulva and perineum
L90	NA	Other atrophic disorders of skin
O70	F	Perineal laceration during delivery
K51	NA	Ulcerative colitis
M53	NA	Other dorsopathies, not elsewhere classified
L71	NA	Rosacea
E55	NA	Vitamin D deficiency
L89	NA	Pressure ulcer
M21	NA	Other acquired deformities of limbs
D69	NA	Purpura and other hemorrhagic conditions
K83	NA	Other diseases of biliary tract
N35	NA	Urethral stricture
H01	NA	Other inflammation of eyelid
L70	NA	Acne
J43	NA	Emphysema
H65	NA	Nonsuppurative otitis media
B06	NA	Rubella [German measles]
G25	NA	Other extrapyramidal and movement disorders
K02	NA	Dental caries
M89	NA	Other disorders of bone
G44	NA	Other headache syndromes
K90	NA	Intestinal malabsorption
H18	NA	Other disorders of cornea
G62	NA	Other polyneuropathies
K35	NA	Acute appendicitis
E04	NA	Other nontoxic goiter
A08	NA	Viral and other specified intestinal infections
B36	NA	Other superficial mycoses
N23	NA	Unspecified renal colic
J00	NA	Acute nasopharyngitis [common cold]
O03	F	Spontaneous abortion
J20	NA	Acute bronchitis
G57	NA	Mononeuropathies of lower limb
I71	NA	Aortic aneurysm and dissection
M24	NA	Other specific joint derangements
K08	NA	Other disorders of teeth and supporting structures
M62	NA	Other disorders of muscle
M46	NA	Other inflammatory spondylopathies
I24	NA	Other acute ischemic heart diseases
F03	NA	Unspecified dementia
N73	F	Other female pelvic inflammatory diseases
B00	NA	Herpesviral [herpes simplex] infections
M50	NA	Cervical disc disorders
L91	NA	Hypertrophic disorders of skin
E53	NA	Deficiency of other B group vitamins
N31	NA	Neuromuscular dysfunction of bladder, not elsewhere classified
N76	F	Other inflammation of vagina and vulva
K85	NA	Acute pancreatitis
E10	NA	Type 1 diabetes mellitus
N41	M	Inflammatory diseases of prostate
G81	NA	Hemiplegia
E16	NA	Other disorders of pancreatic internal secretion
K82	NA	Other diseases of gallbladder
L81	NA	Other disorders of pigmentation
M41	NA	Scoliosis
J84	NA	Other interstitial pulmonary diseases
H36	NA	Retinal disorders in diseases classified elsewhere
B98	NA	Other specified infectious agents as the cause of diseases classified elsewhere
J04	NA	Acute laryngitis and tracheitis
B97	NA	Viral agents as the cause of diseases classified elsewhere
N47	M	Disorders of prepuce
K12	NA	Stomatitis and related lesions
M84	NA	Disorders of continuity of bone
G20	NA	Parkinson's disease
I70	NA	Atherosclerosis
G30	NA	Alzheimer's disease
F40	NA	Phobic anxiety disorders
H54	NA	Visual impairment including blindness (binocular or monocular)
J38	NA	Diseases of vocal cords and larynx, not elsewhere classified
L97	NA	Non-pressure chronic ulcer of lower limb, not elsewhere classified
J69	NA	Pneumonitis due to solids and liquids
L85	NA	Other epidermal thickening
K14	NA	Diseases of tongue
O04	F	Medical abortion
O68	F	Labor and delivery complicated by fetal stress [distress]
F33	NA	Major depressive disorder, recurrent
N97	F	Female infertility
I31	NA	Diseases of pericardium
B27	NA	Infectious mononucleosis
K65	NA	Peritonitis
M71	NA	Other bursopathies
K86	NA	Other diseases of pancreas
J93	NA	Pneumothorax
I69	NA	Sequelae of cerebrovascular disease
K55	NA	Vascular disorders of intestine
L73	NA	Other follicular disorders
I42	NA	Cardiomyopathy
N42	M	Other disorders of prostate
K91	NA	Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified
L84	NA	Corns and callosities
I77	NA	Other disorders of arteries and arterioles
D51	NA	Vitamin B12 deficiency anemia
K11	NA	Diseases of salivary glands
G51	NA	Facial nerve disorders
E89	NA	Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified
G31	NA	Other degenerative diseases of nervous system, not elsewhere classified
N19	NA	Unspecified kidney failure
C34	NA	Malignant neoplasm of bronchus and lung
J12	NA	Viral pneumonia
K50	NA	Crohn's disease [regional enteritis]
I46	NA	Cardiac arrest
N88	F	Other noninflammatory disorders of cervix uteri
G50	NA	Disorders of trigeminal nerve
I27	NA	Other pulmonary heart diseases
A37	NA	Whooping cough
L25	NA	Unspecified contact dermatitis
K61	NA	Abscess of anal and rectal regions
M22	NA	Disorder of patella
I89	NA	Other noninfective disorders of lymphatic vessels and lymph nodes
K75	NA	Other inflammatory liver diseases
A49	NA	Bacterial infection of unspecified site
F00	NA	Dementia in Alzheimer disease
J92	NA	Pleural plaque
N45	M	Orchitis and epididymitis
I65	NA	Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction
I78	NA	Diseases of capillaries
F45	NA	Somatoform disorders
E07	NA	Other disorders of thyroid
M18	NA	Osteoarthritis of first carpometacarpal joint
L65	NA	Other nonscarring hair loss
K74	NA	Fibrosis and cirrhosis of liver
D75	NA	Other and unspecified diseases of blood and blood-forming organs
N43	M	Hydrocele and spermatocele
H34	NA	Retinal vascular occlusions
H20	NA	Iridocyclitis
G58	NA	Other mononeuropathies
M94	NA	Other disorders of cartilage
E21	NA	Hyperparathyroidism and other disorders of parathyroid gland
M86	NA	Osteomyelitis
O16	F	Unspecified maternal hypertension
H50	NA	Other strabismus
G99	NA	Other disorders of nervous system, not elsewhere classified
N12	NA	Tubulo-interstitial nephritis, not specified as acute or chronic
K01	NA	Embedded and impacted teeth
H69	NA	Other and unspecified disorders of Eustachian tube
M80	NA	Osteoporosis with current pathological fracture
K07	NA	Dentofacial anomalies [including malocclusion]
L43	NA	Lichen planus
D68	NA	Other coagulation defects
O82	F	Single delivery by cesarean section
K46	NA	Unspecified abdominal hernia
A15	NA	Respiratory tuberculosis, bacteriologically and histologically confirmed
G35	NA	Multiple sclerosis
H68	NA	Eustachian salpingitis and obstruction
I61	NA	Nontraumatic intracerebral hemorrhage
F31	NA	Bipolar disorder
G03	NA	Meningitis due to other and unspecified causes
F52	NA	Sexual dysfunction, not caused by organic disorder or disease
B86	NA	Scabies
K70	NA	Alcoholic liver disease
O99	F	Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium
N91	F	Absent, scanty and rare menstruation
I74	NA	Arterial embolism and thrombosis
O63	F	Long labor
N75	F	Diseases of Bartholin's gland
I86	NA	Varicose veins of other sites
O02	F	Other abnormal products of conception
O36	F	Maternal care for other fetal problems
O26	F	Maternal care for other conditions predominantly related to pregnancy
I87	NA	Other disorders of veins
M95	NA	Other acquired deformities of musculoskeletal system and connective tissue
E28	F	Ovarian dysfunction
F01	NA	Vascular dementia
H72	NA	Perforation of tympanic membrane
G98	NA	Other disorders of nervous system
M45	NA	Ankylosing spondylitis
M31	NA	Other necrotizing vasculopathies
H44	NA	Disorders of globe
N62	F	Hypertrophy of breast
N72	F	Inflammatory disease of cervix uteri
I60	NA	Nontraumatic subarachnoid hemorrhage
G95	NA	Other and unspecified diseases of spinal cord
A38	NA	Scarlet fever
K05	NA	Gingivitis and periodontal diseases
N61	F	Inflammatory disorders of breast
I12	NA	Hypertensive chronic kidney disease
K10	NA	Other diseases of jaws
I07	NA	Rheumatic tricuspid valve diseases
N99	NA	Postprocedural disorders of genitourinary system, not elsewhere classified
N86	F	Erosion and ectropion of cervix uteri
D86	NA	Sarcoidosis
E80	NA	Disorders of porphyrin and bilirubin metabolism
O72	F	Postpartum hemorrhage
L92	NA	Granulomatous disorders of skin and subcutaneous tissue
N21	NA	Calculus of lower urinary tract
O81	F	Single delivery by forceps and vacuum extractor
J39	NA	Other diseases of upper respiratory tract
J35	NA	Chronic disease of tonsils and adenoids
L53	NA	Other erythematous conditions
D63	NA	Anemia in chronic diseases classified elsewhere
K27	NA	Peptic ulcer, site unspecified
A63	NA	Other predominantly sexually transmitted diseases, not elsewhere classified
O34	F	Maternal care for known or suspected abnormality of pelvic organs
D72	NA	Other disorders of white blood cells
H16	NA	Keratitis
N36	NA	Other disorders of urethra
E88	NA	Other metabolic disorders
E27	NA	Other disorders of adrenal gland
H47	NA	Other disorders of optic nerve [and optic tract]
J10	NA	Influenza due to other identified influenza virus
I72	NA	Other aneurysm
D61	NA	Other aplastic anemias
F06	NA	Other mental disorders due to brain damage and dysfunction and to physical disease
E61	NA	Deficiency of other nutrient elements
I00	NA	Rheumatic fever without mention of heart involvement
K41	NA	Femoral hernia
Q82	NA	Other congenital malformations of skin
L42	NA	Pityriasis rosea
L28	NA	Lichen simplex chronicus and prurigo
N02	NA	Recurrent and persistent hematuria
J15	NA	Bacterial pneumonia, not elsewhere classified
N10	NA	Acute tubulo-interstitial nephritis
M07	NA	Enteropathic arthropathies
C25	NA	Malignant neoplasm of pancreas
G63	NA	Polyneuropathy in diseases classified elsewhere
L05	NA	Pilonidal cyst
G83	NA	Other paralytic syndromes
M66	NA	Spontaneous rupture of synovium and tendon
C50	F	Malignant neoplasm of breast
I62	NA	Nontraumatic intracranial hemorrhage
O20	F	Hemorrhage in early pregnancy
D73	NA	Diseases of spleen
L24	NA	Irritant contact dermatitis
O32	F	Maternal care for malpresentation of fetus
I82	NA	Other venous embolism and thrombosis
H21	NA	Other disorders of iris and ciliary body
E06	NA	Thyroiditis
L01	NA	Impetigo
L27	NA	Dermatitis due to substances taken internally
L23	NA	Allergic contact dermatitis
M05	NA	Seropositive rheumatoid arthritis
G54	NA	Nerve root and plexus disorders
O48	F	Prolonged pregnancy
Q21	NA	Congenital malformations of cardiac septa
B99	NA	Other infectious diseases
F53	F	Puerperal psychosis
M96	NA	Postprocedural musculoskeletal disorders, not elsewhere classified
K72	NA	Hepatic failure, not elsewhere classified
J81	NA	Pulmonary edema
H15	NA	Other disorders of sclera
U07	NA	Emergency use of U07
M11	NA	Other crystal arthropathies
B19	NA	Unspecified viral hepatitis
G24	NA	Dystonia
I85	NA	Esophageal varices
G91	NA	Hydrocephalus
O47	F	False labor
C61	M	Malignant neoplasm of prostate
E23	NA	Hypofunction and other disorders of pituitary gland
E22	NA	Hyperfunction of pituitary gland
F20	NA	Schizophrenia
O42	F	Premature rupture of membranes
H05	NA	Disorders of orbit
N03	NA	Chronic nephritic syndrome
M87	NA	Osteonecrosis
F02	NA	Dementia in other diseases classified elsewhere
I38	NA	Endocarditis, valve unspecified
M40	NA	Kyphosis and lordosis
Q66	NA	Congenital deformities of feet
B15	NA	Acute hepatitis A
F48	NA	Other neurotic disorders
L74	NA	Sudoriferous disorders
L80	NA	Vitiligo
N34	NA	Urethritis and urethral syndrome
C18	NA	Malignant neoplasm of colon
N08	NA	Glomerular disorders in diseases classified elsewhere
H80	NA	Otosclerosis
N70	F	Salpingitis and oophoritis
J13	NA	Pneumonia due to Streptococcus pneumoniae
Q61	NA	Cystic kidney disease
B08	NA	Other viral infections characterized by skin and mucous membrane lesions
D52	NA	Folate deficiency anemia
M90	NA	Osteopathies in diseases classified elsewhere
I11	NA	Hypertensive heart disease
H31	NA	Other disorders of choroid
M00	NA	Pyogenic arthritis
I37	NA	Endocarditis and heart valve disorders in diseases classified elsewhere
C15	NA	Malignant neoplasm of esophagus
F39	NA	Unspecified mood [affective] disorder
L13	NA	Other bullous disorders
C80	NA	Malignant neoplasm without specification of site
J36	NA	Peritonsillar abscess
O00	F	Ectopic pregnancy
F42	NA	Obsessive-compulsive disorder
I05	NA	Rheumatic mitral valve diseases
F34	NA	Persistent mood [affective] disorders
M32	NA	Systemic lupus erythematosus
H74	NA	Other disorders of middle ear and mastoid
K09	NA	Cysts of oral region, not elsewhere classified
F50	NA	Eating disorders
J94	NA	Other pleural conditions
H49	NA	Paralytic strabismus
O75	F	Other complications of labor and delivery
I22	NA	Subsequent myocardial infarction
C71	NA	Malignant neoplasm of brain
A40	NA	Streptococcal sepsis
G04	NA	Encephalitis, myelitis and encephalomyelitis
M93	NA	Other osteochondropathies
O60	F	Preterm labor
K06	NA	Other disorders of gingiva and edentulous alveolar ridge
N05	NA	Unspecified nephritic syndrome
F60	NA	Specific personality disorders
G12	NA	Spinal muscular atrophy and related syndromes
L63	NA	Alopecia areata
J86	NA	Pyothorax
Q76	NA	Congenital malformations of spine and bony thorax
J95	NA	Postprocedural respiratory disorders, not elsewhere classified
J61	NA	Pneumoconiosis due to asbestos and other mineral fibers
G90	NA	Disorders of autonomic nervous system
B54	NA	Unspecified malaria
J42	NA	Unspecified chronic bronchitis
D89	NA	Other disorders involving the immune mechanism, not elsewhere classified
A02	NA	Other salmonella infections
M60	NA	Myositis
H55	NA	Nystagmus and other irregular eye movements
Q23	NA	Congenital malformations of aortic and mitral valves
H71	NA	Cholesteatoma of middle ear
H73	NA	Other disorders of tympanic membrane
B80	NA	Enterobiasis
O46	F	Antepartum hemorrhage, not elsewhere classified
L04	NA	Acute lymphadenitis
O13	F	Gestational [pregnancy-induced] hypertension without significant proteinuria
O69	F	Labor and delivery complicated by umbilical cord complications
H27	NA	Other disorders of lens
I30	NA	Acute pericarditis
M12	NA	Other and unspecified arthropathy
C22	NA	Malignant neoplasm of liver and intrahepatic bile ducts
C56	F	Malignant neoplasm of ovary
Q63	NA	Other congenital malformations of kidney
G61	NA	Inflammatory polyneuropathy
I36	NA	Nonrheumatic tricuspid valve disorders
M92	NA	Juvenile osteochondrosis of hip and pelvis
I98	NA	Other disorders of circulatory system in diseases classified elsewhere
G82	NA	Paraplegia and tetraplegia
I33	NA	Acute and subacute endocarditis
L56	NA	Other acute skin changes due to ultraviolet radiation
B18	NA	Chronic viral hepatitis
O24	F	Diabetes mellitus in pregnancy, childbirth, and the puerperium
Q38	NA	Other congenital malformations of tongue, mouth and pharynx
K38	NA	Other diseases of appendix
F22	NA	Persistent delusional disorders
E46	NA	Unspecified protein-calorie malnutrition
G37	NA	Other demyelinating diseases of central nervous system
I99	NA	Other and unspecified disorders of circulatory system
F29	NA	Unspecified psychosis not due to a substance or known physiological condition
L94	NA	Other localized connective tissue disorders
H59	NA	Postprocedural disorders of eye and adnexa, not elsewhere classified
G96	NA	Other disorders of central nervous system
O30	F	Multiple gestation
Q43	NA	Other congenital malformations of intestine
C64	NA	Malignant neoplasm of kidney, except renal pelvis
F51	NA	Sleep disorders not due to a substance or known physiological condition
J37	NA	Chronic laryngitis and laryngotracheitis
E29	M	Testicular dysfunction
M99	NA	Biomechanical lesions, not elsewhere classified
J91	NA	Pleural effusion in conditions classified elsewhere
Q53	M	Undescended and ectopic testicle
G60	NA	Hereditary and idiopathic neuropathy
N49	M	Inflammatory disorders of male genital organs, not elsewhere classified
A16	NA	Respiratory tuberculosis, not confirmed bacteriologically or histologically
J99	NA	Respiratory disorders in diseases classified elsewhere
E13	NA	Other specified diabetes mellitus
H46	NA	Optic neuritis
E79	NA	Disorders of purine and pyrimidine metabolism
N46	M	Male infertility
G70	NA	Myasthenia gravis and other myoneural disorders
A07	NA	Protozoal intestinal diseases
B49	NA	Unspecified mycosis
N71	F	Inflammatory disease of uterus, except cervix
E85	NA	Amyloidosis
H17	NA	Scars and other disorders of cornea
E73	NA	Lactose intolerance
F09	NA	Unspecified organic or symptomatic mental disorder
O62	F	Abnormalities of forces of labor
A87	NA	Viral meningitis
N77	F	Other inflammatory diseases of vagina
O14	F	Gestational [pregnancy-induced] hypertension with significant proteinuria
A80	NA	Acute poliomyelitis
J46	NA	Status asthmaticus
I81	NA	Portal vein thrombosis
G52	NA	Disorders of other cranial nerves
M88	NA	Osteitis deformans [Paget's disease of bone]
F30	NA	Manic episode
O06	F	Unspecified abortion
O64	F	Obstructed labor due to malposition and malpresentation of fetus
C16	NA	Malignant neoplasm of stomach
C67	NA	Malignant neoplasm of bladder
L93	NA	Lupus erythematosus
N26	NA	Unspecified contracted kidney
D80	NA	Immunodeficiency with predominantly antibody defects
I88	NA	Nonspecific lymphadenitis
B44	NA	Aspergillosis
C92	NA	Myeloid leukemia
G72	NA	Other and unspecified myopathies
L68	NA	Hypertrichosis
N04	NA	Nephrotic syndrome in diseases classified elsewhere
D62	NA	Acute posthemorrhagic anemia
Q24	NA	Other congenital malformations of heart
M34	NA	Systemic sclerosis [scleroderma]
F81	NA	Specific developmental disorders of scholastic skills
F99	NA	Mental disorder, not otherwise specified
C19	NA	Malignant neoplasm of rectosigmoid junction
C90	NA	Multiple myeloma and malignant plasma cell neoplasms
E74	NA	Other disorders of carbohydrate metabolism
J80	NA	Acute respiratory distress syndrome
A60	NA	Anogenital herpesviral [herpes simplex] infection
C20	NA	Malignant neoplasm of rectum
B17	NA	Other acute viral hepatitis
E34	NA	Other endocrine disorders
M49	NA	Spondylopathies in diseases classified elsewhere
G11	NA	Hereditary ataxia
O66	F	Other obstructed labor
C43	NA	Melanoma and other malignant neoplasms of skin
L55	NA	Sunburn
Q05	NA	Congenital malformations of spinal cord
C45	NA	Mesothelioma
Q89	NA	Other congenital malformations, not elsewhere classified
J17	NA	Pneumonia in diseases classified elsewhere
F66	NA	Psychological and behavioural disorders associated with sexual development and orientation
N82	F	Fistulae involving female genital tract
I97	NA	Postprocedural disorders of circulatory system, not elsewhere classified
G06	NA	Intracranial and intraspinal abscess and granuloma
G23	NA	Other degenerative diseases of basal ganglia
F12	NA	Mental and behavioural disorders due to use of cannabinoids
B24	NA	Unspecified human immunodeficiency virus [HIV] disease
C85	NA	Other specified and unspecified types of non-Hodgkin lymphoma
G41	NA	Status epilepticus
D59	NA	Acquired hemolytic anemia
A05	NA	Other bacterial foodborne intoxications, not elsewhere classified
Q85	NA	Phakomatoses, not elsewhere classified
Q60	NA	Renal agenesis and other reduction defects of kidney
G97	NA	Postprocedural disorders of nervous system, not elsewhere classified
F44	NA	Dissociative and conversion disorders
Q40	NA	Other congenital malformations of upper alimentary tract
Q65	NA	Congenital deformities of hip
Q51	F	Congenital malformations of uterus and cervix
L95	NA	Vasculitis limited to skin, not elsewhere classified
A46	NA	Erysipelas
Q27	NA	Other congenital malformations of peripheral vascular system
Q67	NA	Congenital musculoskeletal deformities of head, face, spine and chest
G71	NA	Primary disorders of muscles
N11	NA	Chronic tubulo-interstitial nephritis
F25	NA	Schizoaffective disorders
O21	F	Excessive vomiting in pregnancy
F80	NA	Specific developmental disorders of speech and language
Q79	NA	Congenital malformations of the musculoskeletal system, not elsewhere classified
L51	NA	Erythema multiforme
B16	NA	Acute hepatitis B
F19	NA	Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances
G59	NA	Mononeuropathy in diseases classified elsewhere
O91	F	Infections of breast associated with childbirth
C26	NA	Malignant neoplasm of other and ill-defined digestive organs
G21	NA	Secondary parkinsonism
O35	F	Maternal care for known or suspected fetal abnormality and damage
K00	NA	Disorders of tooth development and eruption
F23	NA	Acute and transient psychotic disorders
Q87	NA	Other specified congenital malformation syndromes affecting multiple systems
Q12	NA	Congenital lens deformities
G80	NA	Cerebral palsy
A69	NA	Other spirochetal infections
Q14	NA	Congenital malformations of retina, choroid and iris
B85	NA	Pediculosis and phthiriasis
O41	F	Other disorders of amniotic fluid and membranes
N00	NA	Acute nephritic syndrome
L52	NA	Erythema nodosum
K45	NA	Other abdominal hernia
K73	NA	Chronic hepatitis, not elsewhere classified
Q39	NA	Congenital malformations of esophagus
M14	NA	Crystal arthropathies
F84	NA	Pervasive developmental disorders
F11	NA	Mental and behavioural disorders due to use of opioids
H70	NA	Mastoiditis and related conditions
G46	NA	Vascular syndromes of brain in cerebrovascular diseases
Q44	NA	Congenital malformations of biliary system
Q54	M	Hypospadias
Q50	F	Congenital malformations of ovaries, fallopian tubes and broad ligaments
G53	NA	Cranial nerve disorders in diseases classified elsewhere
J85	NA	Abscess of lung and mediastinum
I15	NA	Secondary hypertension
O23	F	Infections of genitourinary tract in pregnancy
O73	F	Retained placenta and membranes, without hemorrhage
M02	NA	Reactive arthropathies
O86	F	Other puerperal infections
O71	F	Other obstetric trauma
L12	NA	Pemphigoid
J14	NA	Pneumonia due to Hemophilus influenzae
G64	NA	Other disorders of peripheral nervous system
F13	NA	Mental and behavioural disorders due to use of sedatives or hypnotics
Q74	NA	Other congenital malformations of limb(s)
D53	NA	Other nutritional anemias
O43	F	Placental disorders
O90	F	Complications of the puerperium, not elsewhere classified
J67	NA	Hypersensitivity pneumonitis due to organic dust
Q28	NA	Other congenital malformations of circulatory system
M33	NA	Dermatopolymyositis
Q25	NA	Congenital malformations of great arteries
B25	NA	Cytomegaloviral disease
E56	NA	Other vitamin deficiencies
E20	NA	Hypoparathyroidism
N25	NA	Disorders resulting from impaired renal tubular function
H30	NA	Chorioretinal inflammation
H51	NA	Other disorders of binocular movement
F07	NA	Personality and behavioral disorders due to brain disease, damage and dysfunction
A54	NA	Gonococcal infection
D58	NA	Other hereditary hemolytic anemias
Q18	NA	Other congenital malformations of face and neck
I66	NA	Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction
N44	M	Torsion of testis
